sentence,sentiment
it fit great,1
a good purchase indeed,1
while this item be an amazing quality deliver on time fit well,1
i have to give this star because its not what order,0
i assume id be get black polo with grey strip at the chest,0
but what receive be just plain black polo,0
the color be black,1
but the image have grey stripe on it,0
my man look so good in this shirt,1
very breathable and comfortable,1
would highly recommend,1
nice shirt didnt shrink and it fit though the collar be small than expect,1
fit size small quality look and feel good,2
suggest if you be not in shape and have tone stomach don ’ t buy this shirt,2
very very comfortable,1
wish it be for sleeping in,0
very breathable too,1
my most comfortable shirt,1
christmas gift for my son,1
he love it,1
shirt be as expect would order again,1
one of the best polo ive ever have,0
fit perfectly and its very good quality,1
highly recommended,1
the collar doesnt lay correctly,0
but other than that love the shirt,1
suave al tacto,0
excelente producto,1
as soft as it get,1
not worth full msrp price,0
fit look and be truly great quality love the style as well,1
exactly what want in polo shirt,1
perfect for the hot weather here in vega,1
excellent quality with value for money,1
i want high quality shirt to wear with chino and this shirt meet my need with style and presentation,1
i buy two shirt,1
white and,0
only disappointment be unavailability of several color include green,0
muy ligera,0
very good quality and fit,1
good,1
very sexy shirt,1
too small,2
you need to go at least size up,0
maybe,0
i have be wear liquid touch polo shirt in past which be make in vietnam,0
this one be make in sri lanka,0
and this one do not fit as good as previous one,1
it be bit long and loose from chest,2
do not appear as slim fit,2
feel great still even after wash couple of time,1
i especially like the sleeve as they pull in around my biceps give them the appearance of look big then they be,2
,1
the seam on the inside shoulder of the shirt scratch against the shoukders,2
not comfortable,1
perfect fit,1
comfortable,1
very comfy will be buy couple more to have side,0
i be look for basic polo shirt for work,1
also want good quality and cotton,1
these shirt be all that and more,1
extremely comfortable and cool,1
will be get all the other available color,1
this polo shirt fit good than expect and the fabric be incredibly soft,1
look forward to wear this for many year to come,0
the comfort and fit of the shirt be good,1
the fabric do feel little heavy for what be expect from calvin klein,2
there not lot of breathability through the shirt,2
overall decent shirt,1
no me gustó para nada mi talla e y lo mandaron mm demasiado ancho,0
i like the color and it airways to be be well make and an original ck,1
color match exactly the photo,1
the fabric quality and shirt in general be excellent,1
my husband live the way it fit him,2
light weight,1
comfortable and dress up or dress down,1
good look and comfortable to wear,1
super comfortable and great quality hope they never change,1
fit be not slim fit,2
if clavin klein be know for fit and style then this be mislabelled,0
probably good shirt for summer golf,1
perfect,1
fit very perfect,1
bety good material be ck original,1
shirt fit ok at first,0
but after one wash go from large to now size for large awkwardly shape toddler,0
would not buy this again,2
extremely short shirt,2
el estilo e muy mal no vale la pena pagar,0
real calvin klein shirt and first time i ’ ve buy one since can afford the price,1
that be say it ’ s plain black polo shirt,0
very soft well make,1
good look shirt fit very well,1
its good quality shirt,1
but its not dry fit like,2
played golf once and after round be sweaty and back be completely wet,0
will need to use for casual wear only,0
im and about lb,0
not big gut either,2
the shirt be just couple of inch too short,0
fine when standing still,0
but uncomfortable when reach or bend,2
no way there be enough to tuck in,2
buy this shirt for my boyfriend he love it and the color look good on him too also the material be soft and comfortable,1
this may be my new go to polo,0
the fit be great,1
it look great and be very comfortable,1
espectacular se ciñe al cuerpo su color diseño geniales,0
compre la azul marino,0
very satisfied with my purchase original calvin klein product,1
ok,1
great product very comfortable,1
the shirt receive do not match the picture and none of the tag on it state it have uv resistant rating,2
the shirt receive be totally white,0
the shirt thought be order base on the picture be suppose to be white with light grey collar with three different color stripe across the chest area,0
great quality light and smooth,1
comfy,1
look great,1
very good k,1
soft and durable fabric,1
can wash at home do not wrinkle,2
excellent quality,1
i buy this style for my husband and he love them,1
they be comfortable and look great on him,1
muy buena calidad,0
good quality shirt,1
very lightweight,1
breath well,1
fit as expect,1
cheap quality shirt,2
nice material black be nice,1
muy bueno,0
fit and look great,1
regalo para mi esposo,0
le gustó mucho,0
material be good,1
so far so good we will see how it wear,0
awesome fit and be large person,0
my husband favorite shirt,1
wish could find more in his tall size,0
son love the shirt and fit,1
the color be deep green,1
do not buy this shirt if you want this color,2
i buy xl size and after wash and dry the first time it become small size,2
shrunk lot,1
i want to return the product,2
i fell cheat,0
the shirt be too small in the bottom stomach area,2
i felt it be too expensive as well,1
a most comfortable shirt in hot weather,1
feel cool and soft,1
buy few of these for vacation,1
look good feel good nice and light,1
no complaint here,1
its to big to be large and its not the same the picture,2
like so much bought,1
very good and comfort shirt high quality fiber,1
nice quality shirt order xl like all my other shirt,1
fit fine across chest great,1
but short in length when raise arm up to chest level,2
great shirt,1
love the fabric and quality,1
se encogió la primera lavada,0
i be,1
and medium look absolutly perfect,1
the shirt look and feel fantastic,1
shirt quality be good,1
but little short than expect,2
the fit wasnt the concern it be the length,0
el material,0
fit be not “ generous ”,0
but tight across shoulder and sleeve be too short,2
great shirt,1
soft well make can ’ t go wrong with this shirt,1
so happy buy more,1
soft and fit well,1
bro in law love the shirt,1
me quedo muy bien e fresca ligera la tela estira un poco,0
comfy look good and not that expensive,1
excellent,1
it have nice feel when wear it and wasnt too big or too smallwas perfect,1
i love it,1
all good,1
excelente producto,1
great shirt,1
fake cc liquid different label from original,0
after wash the collar be no long straight,0
i would give it star if possible,0
it shrink size after the first wash,0
be ok,1
simple,1
but nice,1
this item be counterfeit,0
it be too poorly make to be an actual calvin klein shirt,0
cool stuff,1
i like,1
material look like silk,1
drape,0
soft,1
fine,1
luster,0
fit well shirt be soft,1
will buy more,1
i ’ m try to change it to get three xl,0
very nice material good fit,1
excellent product and service,1
good,1
very nice definitely cool touch,1
everything be ok,1
very good quality,1
make in the us all calvin klein sportswear product be make and ship in the us,0
this be bs,0
its say make in vietnam on the tag,0
fix your false statement,0
muy buena calidad,0
good product just as expect,1
i have hard time find anything thats my size as far as my body type be as small as it be so mean can appreciate the quality,2
but it just didnt work for me,0
this be product by calvin klein thats honestly sentence that say quite bit quality satisfaction and price that isnt nearly as comfortable as this fabric,1
it actually shrink after one wash,0
bonita tela queda perfecta,0
very good,1
la talla la calidad del producto que la perfección solo que la mía llegó con botones blancos en la imagen son negros además la mía sí tiene el logo de ck en la imagen no son detalles sin importancia pero si gustan tomarlos en cuenta,0
the seller send me plain white shirt,0
the one in the picture be not real,2
ligeramente ma pequeña que otras piezas que he comprado de la misma marca modelo,0
liquid touch,0
la diferencia visible es la etiqueta aún siendo el mismo modelo tienen distintas etiquetas son de diferentes países de origen esta en particular e make in vietnam la anteriores son make in siri lanka no se si eso tenga algo que ver con la diferencia de ajuste,0
otra pequeña diferencia también e el material son algodón pero se siente algo distinto,0
tengan cuidado no e el producto que muestran en la foto es de menor calidad el color parece deslavado no sun negro solido,0
nisiquiera e la misma etiqueta tengo un par de ck nada que ver con su calidad entre las que compre en una tienda departamental esta,0
con el toque que lo caracteriza la marca calvin clein de utilizar materiales finos de primera calidad hace lucir una prenda muy cómoda maravillosa,0
en cuanto la talla,0
m e mi caso,0
la considero dentro de lo normal no queda grande ni tampoco estrecha,0
una camisa muy cómoda para temporadas de calor no se arruga casi tiene un corte moderno,0
por el precio de la oferta es una buena compra sin duda adquiría otros productos similares por la calidad confort además del corte,0
la playera tiene una excelente calidad e del tipo de tela fresca se ajusta muy bien al cuerpo definitivamente volvería comprar este producto,0
total defective amp,0
duplicate product,1
no brand logo on chest as show in the picture,0
the brand tag be not available anywhere in the tshirt,2
neither the tag in neck side nor the washingfabrication tag at interior side,0
even the tshirt be tear from the neck part where the brand tag use to stitch,0
i have order for replacement and this time expect the original one,1
el producto me quedo muy bien use de referencia otras camisas de esta marca que tengo son bastante precisas pero el color e mucho más claro como se ve en la imagen de un azul marino parece un cobalto quiza más claro,0
excelente calidad de los materiales la talla e un poco más grande suelo ser talla mediana pero pedí chica me quedó perfecta ni ajustada ni holgada,0
la talla e perfecta quizá un poco grande pero en mi caso quedó perfecto como me gusta,0
e muy suave la tela se siente muy bien,0
la tela de este tipo de camisas algodón líquido es lo mejor para el tacto súper suave,0
le quedó muy bien mi esposo,0
buen material de algodón,0
pero no me amoldo bien,0
la tela e muy suave el diseño color lo hacen un básico del guardarropa que nunca falla para hacerte ver cómodo casual,0
muy excelente calidad gran compra,0
e cómoda fresca se ve muy bien puesta,0
sensacional al tacto su estructura,0
dato tomar en cuenta la tallas de ck en eeuu son más amplias que en mexico,0
excelente la calidad del producto e muy buena la talla e la adecuada no viene reducida como otras marcas,0
la ame muy buena tela súper suave me veo increíble,0
comprare otra definitivamente la súper recomiendo,0
me queda perfecto talla mediana la tela muy agradable al tacto me agrada mucho la marca ck,0
great colour very comfortable,1
wear and wash well,1
i buy one size up so that it ’ s long enough,0
mido,0
peso kg,0
me quedó muy bien aunque e un poquito larga,0
me gustó mucho el diseño pero estaba un poco grande para ser talla chica mi parecer,0
otras playeras ck aquí en mexico de talla chica me quedan mejor,0
la tela e incomparable,0
nunca ninguna otra marca habia logrado esto,0
no en mi experiencia,0
ajuste normal calidad que se espera de ck,0
el corte el color la textura todo perfecto,0
queda bien,0
fresca para una tarde de verano,0
el producto me quedo excelente con un buen precio pero el color de la ropa no e cinético ni se parece de la foto subió ellos,0
tiene color ma claro que imaginé,0
se ve mejor en persona que en fotos,0
muy hermosa playera la tela muy cómoda suave,0
la camisa me gustó aunque en el anuncio traía una franja verde cosa que no llego así pero me gusto me la quedé,0
bien,0
très bon produit,0
muy buena calidad la talla me quedo perfecta e justo lo que pides,0
calidad precio recomendado,0
e de muy buena calidad muy cómoda,0
buena calidad de producto,0
excelente calidad de materiales buen ajuste al cuerpo,0
llegó mucho ante de lo esperado,0
i always wear shirt,0
but this one be big than my size,0
but the colour be good,1
me quedó muy bien con una tela de calidad muy suave,0
very good thanks,1
compré talla m,0
e más bonita cuando la ves físicamente que en las fotos el color e increíble,0
e corte regular súper fresca,0
esta polo de liquid touch no tiene nada que ver e la tela norma como cualquiera nada que ver con la liquid touch,0
excelente,1
muy cómoda suave fresca no es tan delgada,0
e cómoda buenos materiales no queda ajustada como luce en el modelo pero está genial,0
el color e mucho más claro que en la imagen la talla e muy amplia,0
e de buena calidad,0
excele calidad en cuanto originalidad todo en orden viene un poco amplia pero e una excelente compra,0
excelente calidad muy bonita la tela e muy suave el tamaño viene confirme la talla excelente compra,0
la talla esta bien un poco ma larga de lo normal el color no e un rojo e como color salmon no me gusto,0
el producto queda muy bien,0
excelente producto,1
muy buen producto como siempre,0
pedi talla chica pero viene muy amplia la tuve que vender un amigo talla m,0
excelente producto lo recomiendo ampliamente,0
talla adecuada material padrísimo,0
mi esposo encantado con su regalo la textura de la playera e excelente,0
no se parece al color de la foto que están vendiendo,0
muy suave algo grueso pero muy buen producto,0
me gusto mucho la playera muy cómoda la talla e perfecta,0
calidad,0
la tela me gusto mucho pero se equivocarón en la talla,0
calidad de tela buena todo como lo esperaba,0
me envíaron una playera de otro color,0
no me mandaron el estilo qué pedí,0
me encanto súper buena calidad llego en días,0
no e el color anunciado,0
justo lo que esperaba súper cómodo,0
muy buena calidad buen producto,0
muy bien,0
perfecto,1
excellent nice and light feel great,1
