sentence,sentiment
if youre big guy with vback,0
narrow waist,0
then go for the multiple sizing,0
for wash,0
the tag say machine wash and machine dry,0
personally just toss them in the machine on cold and then dry them on low to about half way,2
minute on low heat,2
then hang dry them the rest of the way so they dont shrink,2
theyre not suppose to shrink since theyre poly,2
but it be still knit shirt,0
need green shirt for work,0
i ’ m ’ weigh at so do order medium be that men clothe run big than woman,0
i wear thin neck shirt under so it do fit snug like medium should,0
i think the shirt be great,1
it fit me perfect,1
i be regular medium,0
’ ” lb,0
the length be right for my height get the navy blue and look great with jean or chino,1
i do not see anything cheap about it and like their hoodies too,2
i buy these as cheap replacement for my old all cotton shirt by another company altogether,2
they do seem cheap,2
firstly they have strong chemical odor not usually associate with cottonpolyester,0
at least not in my experience,2
secondly they be very thin,0
the material be light in weight,1
they may do after wash,0
i get them not minute ago,2
and we will have to see,0
the one thing that be afraid of be the material may be actually more polyester than cotton,2
it be suppose to be,0
but really dont think so,0
i be rely on my experience in clothing and my first visual impression to make that statement,0
i be not expect much,2
will update in few month,0
if they last that long,0
hr later wash etc they do fluff miniscule amount,0
i notice that when take them from the washer they be almost dry to the touch which lead me to believe less cotton,0
more polyester,0
like that the collar do not get permanent crease,2
armhole be good size for men with muscle,1
my husband usually complain they be too tight,0
but he like these,1
length be perfect for average man,1
husband say that the stistitching on the bottom edge be very nice,1
have be wash multiple time color be still intact,0
material doesnt pick,1
shirt be use for work manual labor get dirty etc,0
not desk job,2
but look nice too so it would still be nice for office,1
dry fairly quickly when he get wet,0
not bad wrinkle shirt very good wash and wear be polycotton,2
will be orderung good deal more of these,1
be hesitant at first when it arrive,0
the shirt be never wear amp,0
its already rip at seam,2
we wash it per the washing instruction amp,0
the first time it be put on we notice the rip,2
poor quality and not well make,2
it fit great guess you get what you pay for,1
if you have dog that shed please be forewarn that this shirt will collect every single dog hair in the dryer,0
every,1
single,1
one,1
polyester it will come out look like your animal be attach to it somehow,2
i have to spend ten minute,0
not exaggerate,0
remove dog hair with both lint brush and lint sticky roller,0
the shirt be great and fit great and wash well with no fading and wrinkling,1
but it be not pet hair friendly,2
everyone else knock yourself out because it be great shirt,1
wont be order any more of these,0
any food that get on them leave stain that never come out,2
ive never have shirt stain so easily,0
if you spill drink on it it bead up and roll off which be cool,0
but any kind of sauce oil anything with fat will instantly and permanently bond to the shirt,0
on the plus side they fit great and look nice,1
fabric be thin and cool,2
i wear them every day as work shirt,0
but cant be replace them constantly because get little dribble of salad dress on them,2
these be essentially long sleeve shirt with collar,0
the material be extremely thin,2
i expect them to be thick similar to some jerzees shirt have,0
however the fit be excellent on me so keep them,1
don ’ t count on them keep you very warm though,1
if it ’ s ultralight weight you ’ re look for these be perfect,1
they should breathe well,1
i ’ m ’ lb with an athletic build and xl fit good,1
update after wash these,0
with cheer color guard only,0
the material actually get thicker and soft feeling and the shirt be quite comfortable,1
i ’ m wear it right now for the first time,0
the cuff be extremely soft and luxurious feeling and the shirt be nice and soft to the touch moreso than expect,1
it ’ s in the low ’ s right now in chicago and the shirt be perfect,1
for me,1
it ’ s still rather thin material for long sleeve shirt,2
thus the economical price,1
but it ’ s perfect for wear around the house with short or as layer under jacket or warm sweater when the temp drop to the low ’ s tonight,0
the material have nice stretchiness to it,1
but think it ’ s in the weave and not the material which be cottonpolyester no mention of the common lycra,2
it didn ’ t shrink much if at all in the wash,0
they advertise that it ’ s preshrunk and i ’ d agree and the length both shirt and sleeve for xl be plentiful for me at ’ ”,0
often the arm shrink and end up little short on me unless go up size so this be nice surprise,2
jerzees didn ’ t skimp on the amount of albeit thin material,0
this polo be well worth the price on amazon,1
i find myself struggle most morning to put an outfit together for work my solution create uniform,0
they be durable and machine washable which add an extra layer of convenience and they go well with sport jacket make them versatile,1
and inexpensive,1
addition to your corporate wardrobe,0
super thin material,0
see my photo show how see through this be,0
thank god buy white tshirt for underneath,1
this be for my yo son who have little weight issue,0
he need it for orchestra concert tomorrow so i ’ m stuck with it and hope the tshirt be good barrier,0
so if you ’ re not perfectly rip and don ’ t want people to see your moobs or belly don ’ t buy this shirt,0
this be my second shirt from this style,1
i get blue one and like it lot now have color choice,1
originally want long sleeve protection when do outdoor community outreach project for club,0
for that purpose it be excellent,1
it turn out to be stylish enough to wear to casual nice activity like meal with family,1
i usually end up wear my lunch,0
yesterday blob of dress from sandwich wipe right off and the shirt come through the wash with no spot,0
good stain protection and no wrinkle from the dryer,1
fit be as expect,1
just right for my xxl torso,1
and finish quality be good,1
very happy with this shirt,1
you maybe look at this shirt because you want to wear it for work or for everyday,1
it will totally work for both,1
but need halloween costume,0
so purchase it size too big and go felicia from the movie friday,0
the color and size be as expect,1
but the shirt be pretty thin,0
it wrinkle pretty easily,1
it be good for summer,1
the issue usually have with polo be,0
the collar,0
the sleeve,0
the length,1
the collar on this one be ok,0
over time though because it be thin expect it will roll up at the end which be annoy,0
the sleeve on this be odd which may be because of the thinness,0
where the band on the end of the sleeve be sew to the sleeve it be very pronounced,0
it make it just kind of look odd,2
time will tell on the length,1
what see usually happen be that the back of the shirt will shrink up and the front wont,2
which make it wearable only if you tuck it in,0
otherwise it get boxy look,1
i expect this one will do that,1
but so far its ok,1
overall be hop for solid cheap polo and be plan to buy several more,1
glad wait and only get one to try out because my search continue,0
strange feel for cottonpoly mix,0
the shirt be very scratchy to the point of irritation especially around the collar,0
the sleeve be ultratight at the wrist,0
and the general shape be american i,0
small in the chest big in the belly,2
i originally think all the color variation be great feature,1
but would not buy this shirt again after purchase just one,2
you get what you pay for definitely hold true on this one,1
i buy this for myself,1
im lb woman stand,0
i want long sleeve and couldnt find this shirt in the woman dept,0
i be amaze at how good the top fit in xl,1
the sleeve be nice and long and the material be cotton blend which make it lightweight,1
the length of the body be long so if youre long waisted this will fit,0
its almost too long for me as it come down to the top of my thigh,2
great product id definitely purchase this again,1
the product be of high quality and as advertised,1
the vendor deliver timely well package and perform as advertised,1
i would highly recommend both the vendor and the product,1
i be look for decent golf shirt at good price,1
the price,1
,1
seem to be tremendous bargain especially give the very positive review,0
so ordered one to try,0
sizing be not an issue,2
the problem be the material be so flimsy its almost transparent,2
in part may have be because order white,0
i try to return it through amazon,2
but get message that it wasnt allow,0
so donate the shirt to charity,0
darker color may be good choice,1
i think some may like this shirt,1
but it wasnt what expect,1
my apology to jerzees,0
i get my shirt mix up and say some thing in my original review that werent true,0
what follow be the updated accurate assessment of their shirt,0
i also up the rating to star as feel be appropriate,0
i order the kelly green polo,0
but their color palatte be off,1
it be too brightfluorescent to be consider true kelly green so im disappointed about that,0
but thats about all im disappoint with,0
i have to say that the shirt be constructedstitched in quality manner and sizewise it fit as expect and its not like the shirt look disgustingly horrible or anything,2
despite the off color,1
for under its really not all that bad of shirt,2
ive pay lot more for lot bad in the past,2
and it represent great value in men clothe,1
quality make,1
but feel it be touch smallish,0
no problem always order size large for t and polo as like long tail to tuck in,0
these arent cotton,0
but be very comfortable anyway once wash,1
have little bit of synthetic fiber help keep their shape and seem to make them last longer,2
couple with its low price feel this be bargain,1
all in all very happy,1
the shirt come quickly and it look and feels very nice for the price,1
i generally wear size xl,0
but this particular shirt in xl be much too large so exchange it for size l,2
the cottonpolyester blend be definitely superior to cotton,0
this shirt can be use as uniform attire or even business casual attire if you throw on some slack,2
i wish these come in wider array of color other than that im very happy with this purchase,1
it be not bad product it just have some flaw,2
the sizing of this shirt run bit large except in the sleeve diameter below the elbow,2
when you look at this do you note the banded cuff these be fairly small and the diameter of the sleeve below the elbow be fairly small as well,2
i live in the south where it rarely get very cold,0
it be important to be able to adjust warmth as the day progress by shed layer and or roll up sleeve,0
that be the major problem with this shirt,0
it be difficult to push the sleeve up and expose forearm,0
i do grab the cuff and the low sleeve and pull until it stretch out bit,2
i be then able to push them up some,0
but not as far of as comfortably as would like,2
i order these for my son because he have to wear uniform to school,0
they be very well make and comfortable,1
i order size big than my son usually wear because uniform shirt normally run small and my son be the size of grown man,2
they be little too big,2
but they be wearable,0
the way my son be grow that might not be such bad thing,2
these shirt be true to size so dont order size up or size down,0
unfortunately due to the coronavirus pandemic change my mind and end up have my son not go to school and participate in remote learning so he will never get to wear them to school this year,0
hopefully next year he will have to wear the same color as this year and he can use them in the grade,0
i make him wear it during school hour during remote learning when he be in class meeting on camera,0
i be glad that only order two,0
but get them for great price,1
i be very happy customer and definitely recommend these shirt to everyone,1
i wish it be easy to find shirt like this for woman that didnt cost as much,1
i usually wear an xl so order l because it be men,0
it fit just little big than id like,2
but figure it might shrink over time,1
i wear this shirt for work and need something that wouldnt stain and would wash and dry well,0
it also need to hold up to repeat washing since wash my work clothes after every shift,1
i also get coffee mocha sauce etc on me at work and so far this shirt be hold up great,1
good value for the price,1
i order black large and it be huge,0
at it be not go to shrink so exchanged it for medium and the color to gray,0
the replacement be way too small and the weight of the fabric be far less,2
i give up,0
it be just too much trouble buy thing on line,1
now cant leave because of the virus,0
this one will go in the goodwill box,0
you absolutely can not beat the price,1
this be tee shirt weight not quite as soft as tee shirt,0
but not rough by any mean,2
the fit be not too baggy,2
but definitely big and square enough to fit big guy,2
i be foot and pound with broad shoulder,0
not sure how it would do if you have big belly,2
but have regular size waist and the shirt fit me fine,0
great for wear when tee shirt be too informal,1
but you dont want to dress up any more,0
i order four these shirt in four different color,0
i order large which be normally bit big on me,0
but good fit than medium,1
with these shirt the large be bit small not small enough to return,2
but little small than have come to expect from men large,2
the shirt be comfortable,1
but bit thin,2
i have only have them for couple washing so do not know how they will hold up long term,0
as thin as they be be concerned,0
time will tell,1
overall for the price they be great shirt,1
if they hold up well will buy again,1
i need this for that day friday where we be to wear polo shirt and jean,0
i dont really wear polo shirt so wasnt look to spend lot of money on them,2
i be write this review in august have buy it the previous december,0
its fairly comfy and the fit be right,1
it fit little loose,2
but doesnt hang off me it hang down just the right length in my opinion,0
have run it through the wash many time now can say it doesnt appear to have fade and the stitching isnt fall apart either,2
honestly for what you pay for these consider that to be pretty good,1
i wear large size short sleeve version and think xl would be good fit the long sleeve it wasnt,0
nice shirt for the price,1
not crazy about the white shirt,2
blue,0
navyelectric,0
maroon black pink green look great and even wear good,1
i really dont like to write review that be not positive,2
but must on this one in that feel can prevent nonpositive reaction when you receive yours,0
i want something inexpensive,1
but decent look for my husband an artist to wear on daily basis,0
this be about the most unattractive shirt in everyway that can think of,0
it be flimsy its color be dull it look like they take to piece cut out the outline and sew them together,0
thats not what they do,0
but the shirt sure look like it,1
i be so offended that go through the entire return process even though they be quite inexpensive,2
at,1
it be not worth it,2
these polo shirt fit very nicely,1
i have broad shoulder and moderately muscle chest,0
i find often that shirt that fit my chest and shoulder be then too big around the waist and too long,0
these jerzees polo be the exception at they fit me well in all area and add to slimming appearance,1
i buy these as something akin to uniform for my massage business work,0
the chest and shoulder fit be trim enough to accentuate my torso shape and roomy enough to accommodate my reaching and lifting of client during my work,0
i will order more too as like these as everyday wear good than just tshirts,1
fit as expect and great quality garment at this price point,1
i work in industrial sale love these shirt because dont feel guilty when get grease on them or catch the corner of machine and put hole in it,1
the stain guard be double edged sword,0
they dont stain easy this be true even after several wash the liquid just bead up and roll off without penetrate the fabric this be also the downside for me,2
the shirt dont adsorb sweat at all,0
the sweat rather stay on your skin and leave icky feeling as it bead and roll off your back,2
ive notice after or so wash its better,0
but still not super comfortable in hot humid environment,0
im force to wear undershirt under these more layer hotter,0
but help absorb sweat,0
need shirt for work that be black polo and comfortable,1
normally when order shirt they be make of some sort of sweaty blend of fabric which make it horrible to wear and hot,0
not this bad boy,2
this be cotton comfortable professional,1
but im not suffer the dreaded itchy fabric blue,0
a shirt that say be professional,0
but im not itchy,0
im five foot one female and weigh lb carry most of my weight in my midsection,0
i have to return the woman size large polo shirt in lieu of the men medium,2
they fit perfect,1
and love the california blue because it be more teal then it be turquoise,1
they wash and wear very well,1
i take them out of the dryer after the cool down cycle and there be very few wrinkle,0
not even enough to iron,2
they dont seem to have shrunk either since they be polyester and cotton,0
ive be search for the right shirt for our adult team mentor for over year,0
and from the feedback think id try this one,0
this shirt be excellent,1
the fabric be super soft for wear and yet the shape and fabric be stable,0
no wrinkle after hour of wear look as fresh and new as when it come,2
wash up like new,1
i wash one of the we purchase and could not tell which one be wash compare to the others it retain the same fit and same quality as the notyetwashed,0
for those who want to know it be also the right fabric for an embroidered logo,0
many shirt weave be too loose or too tight distort the logo after its stitch on,2
or after wash the shirt the logo be too loose on the tight shrunk fabric,2
the aspect be my big concern when purchase them would this shirt work great for stitched logo we take it to our embroiderer and the resultant logo be crisp clean not distort,0
in word perfect,1
even after wash multiple time,2
the background fabric be major component to achieve beautiful logo,1
this shirt exceed my expectation,1
for fit compare the medium to the large and the difference be extra inch on either shoulder and long,0
the shirt be not taper and fit the adult body that be not quite as slim as heshe use to be perfectly,0
if you be waver in size between and if the person be skinny pick the it will fit without the bulk of extra fabric around the waist,0
ill be back for more short as our team expands,2
very happy,1
i feel review be super important to help other online shopper,0
with that be say read review of this shirt and it be highly rat so decided to purchase two in white,0
however when my order arrive be extremely disappointed with the material quality,2
these shirt be super thin and you can see through them,0
my son try one on and you could see the color of his nipple through them,0
very disappointed since have other jerzees shirt and have be happy with them,1
this be fine shirt,1
it look good it fit well it seem to hold up to repeat washing,1
the navy color be very close to whats picture and the fabric feel well than what you expect from poly blend,1
however there be very strong chemical smell that have persist through multiple washing,0
maybe its fire retardant coating or something to do with the spot shield marketing,0
whatever it be the smell lingers on other clothes stack on or near the shirt,0
that alone will keep me from buy another copy of this shirt,0
im and get the medium,0
fit be good overall,1
but the sleeve be too tight,2
not so tight as to ruin the shirt,2
but little annoying,0
so the medium be bit small on me overall,2
but im sure the large would be too large,0
as with most shirt,1
fabric be tiny bit on thin side,2
but not enough to be problem,0
i like the comfortably collar polo fabric well,1
but as of this date those be available in very few color,1
so glad get these for my son that be get the small because he yr old build like yr old,0
its hard find the perfect fit,1
but these be that perfect fit,1
they be long and the collar isnt to big like usual men shirt on kid,2
toatally awsome for those football defense build boy,0
the quality be pretty good for what you ’ re spending,1
i buy couple of these for job uniform,1
they wash and wear well,1
i think it may shrink after first wash,0
but not at all,2
what like most be they don ’ t really get dirty or wet,1
literally spill some of my lunch onnthe shirt when someone accidentally bump me and it didn ’ t leave stain on it when clean myself off,0
also get catch up work outside when it start pour rain and the shirt didn ’ t really even get soak and barely wet,0
rain drop bead up onnthe shirt,0
when get out of the rain pull the shirt off and shake it,0
and the bead up rain drop just fellflew off,0
will definitely buy few more soon so won ’ t have to wear any of my ‘ nice ’ polo to work anymore,1
i buy this one for my husband,1
the price be very cheap so we be hesitate about the quality,1
but we decide to try with black one he love it so much because be like wear tshirt,1
but with bit more style we be leave in texas the fabric be awesome for be comfortable in hot weather,1
so after the black one we buy charcoal one we confirm it be follow the same standard of the black one then we decide to buy more color and an extra black,0
now he be plenty of these polos he can wear them for go to office and for the weekend he can wear them with jean with docker or more formal pant and those fit with everything,0
ive buy halfdozen of these shirt in various color and love them,1
very comfortable and perfect for winter in arizona,1
daytime high in and,1
im and take sleeve in dress shirt and these shirt,0
xl size,0
be long enough in both the body and sleeve without need tall size,0
no shrinkage to speak of after multiple washing,0
two thumb up,0
my teen son who be on the autism spectrum be extremely picky about fabric so dont often buy clothe online for him,0
however he have to have slightly dressy shirt than his usual screen print tshirts for trip with his school and so order him few polo shirt from amazon,0
this particular shirt be so soft so comfortable that he texted me the first day he wear it in europe to thank me for buy the green collar shirt,1
thank you jerzees,1
some of the review with picture show tear in the fabric and claim it be very cheap,2
but my experience have not be as such,0
my job require us to wear polo to work and cover up tattoo so these longsleeve polo have be fantastic,0
i own the black navy and gray one and theyre comfortable despite be polyester which mind you be definitely not the most comfortable material,1
but this feel fine,1
i only ever use these for work,0
but if you want to go out and look little good than just casual tshirt these also look fantastic,1
ive buy polo where the wrist tend to be too loose,2
but this one hug around it very nicely and give it nice fit,1
so far so good definitely order more,1
i ’ m not very impressed with this shirt,2
but you get what you pay for,0
the quality be meh okay as back up when my good shirt be in the wash,1
thin enough that you can see my tattoo thru the sleeve so maybe use that in make decision,0
this be very nice look white polo shirt,1
the thickness be perfect,1
it be comfortable and thick enough so it be not seethrough,1
the stitching be well do and this shirt have hold up nicely in the wash,1
the collar do not curl in the wash which be really nice,1
it seem to be stain resistant,1
the fit be true to size,1
i purchase it for someone who be ft and it fit him perfectly,1
this be highquality shirt,0
i pay about,0
for this polo shirt from amazon,0
it be cotton polyester,0
overall the shirt fit as expect and be great value for the price,1
dont pretend you didnt know what you be get,0
of course cotton be more breathable,0
it also shrink,0
the blend do not and the shirt feel just fine,2
i work in warehouse where the men be expect to wear collared shirt,0
it be almost summer and it be get very hot,0
i want to get some polo shirt that be more of tshirt fabric,0
this polo be very thin and semi see through,2
but its exactly what need for its intend purpose,1
i didnt want to purchase your traditional polo that be usually thicker,0
this polo be definitely light and still look great,1
i dont have to wear an under shirt because since it be light and more of tshirt material it do not irritate my skin or make me itch,2
i recommend this polo if you want to still look semi business casual,1
i wash them with my other work clothing and dry them on delicate setting,0
low heat,2
it didnt shrink that much,0
but im not sure how much it will shrink if you dry on different dryer setting,0
goodlooking long sleeve white polo shirt,0
i buy this for someone who be hard to size,0
he be ft in and lift weight,1
this fit well in the chest and in the waist,1
usually if it fit the chest then the waist be big,0
but this be just right,1
it be be washed and it have hold its shape nicely and remain nice and white,1
the quality on the shirt be terrific and the thickness of the material be nice,1
i order of these for the summer,0
ive have them for about month,1
i wear each one about once week,0
theyre already show significant wear and pill everywhere,0
you do have to iron them,1
this be very disappointing especially because hang dry them,2
next summer ill definitely spend more money to buy high quality material that will last more than season,1
i doesnt shrink around the neck cause an uncomfortable restriction around the neck,0
the full coverage prevents sunburnespecially on the back of the neck,0
this shirt be make from thin material so its fine for cool weather,1
thicker fabric be sometimes be often too hot for fallspring,0
fit great,1
i also splash some food on it and it come off without be absorb,0
have not wash it yet so this feature may change over time,2
the price be low so my expectation be modest,1
i dont quite know why buy these shirt in cotton blend when what need be synthetic moisture wicking fabric,0
and sure enough it go to show cotton drag down fabric performance in summertime heat and humidity,0
but synthetic save the day,0
with fullon synthetic shirt sweat doesnt show and its drawn away to the outside where it can evaporate,0
almost any stain will disappear after few washing,0
and they dont fade,0
they last year and year even with daily use,0
these shirt approximate all that,0
but they be hotter on they will stain they do show sweat and they be heavy and more stifling than be use to,0
and the whole evaporative cooling effect that make me go aaaah,0
when the slight breeze come along just isnt there,2
these be more for light indoor work with only occasional outdoor exposure,0
this be good standard polo shirt,1
its good quality not too heavy great for summer,1
the price be good for what you get,1
i like my casual shirt on the loose side and this one do not run large at all,2
i would order jerzees again if need another polo shirt,0
i order this polo size medium for my husband who be and about pound,0
the pro,1
i love the deep forest green of this shirt and that it come in variety of color,1
my husband say that it be very comfortable and he wear in regularly,1
the con,0
this shirt do shrink bit,0
but that be to be expect from shirt that be cotton,1
the shirt seem to shrink length wise rather than width wise,0
the fabric feel cheap,2
it isnt soft,1
fit perfectly and be kinda skinny so its hard to find shirt that arent too big,1
but arent so small have to pull my shirt out of my armpit and pull my shirt below my tummy and my crack,2
teehee,0
i pretty much only buy this brand for myself anymore because they last at least few year since buy my first one almost year ago and wear single one of the several have at least once week,0
i will buy more,1
i have several of these shirt and they ’ re all great,1
really good “ uniform ” shirt,1
vibrant color,1
good comfortable fit,1
stain and spot resistance,2
but the kicker with this particular shirt be,0
i didn ’ t receive this shirt,0
what get be the long sleeve version in package label ‘ short sleeve ’,2
it ’ s good shirt and be consider get long sleeve or two anyway,0
i even double check my order just to be sure didn ’ t select the incorrect item,0
nope,0
just the wrong shirt in the right package,1
thing happen,0
happy accident,1
this product be defective,1
i purchase it for gift,1
the fabric be thin it arrive doubled bag,2
inside bag have previously be tear open,2
its defective,0
i an not reorder due to quality if fabric and appearance,2
surprisingly it be lot hard to find and expensive,0
this product be small fraction of what other company want and honestly be perfectly fine,1
it be durable enough to wear once month when he serve and doesnt look cheap,0
it be slightly big than what he expect,2
but not terribly big,2
we would recommend the shirt to anyone who be need of these specific,1
im not into logo on my clothes so really like these theyre very comfortable like tshirt with the collar,1
order the black it be different fit the first few be tagless this be not kinda disappointed dont think will be order anymore of these,2
seller be amazon picture mislead,0
try to get ahold of real person to send whats picture,0
impossible,0
great value for this shirt,1
i be order more in different color,1
make well,1
fabric be lightweight,1
but that be exactly what want for the warm nevada weather,1
the sizing be as state the size get be and it be just like most other from american company such as hanes duluth trade post etc,0
i always wash my clothes in cold water and dry on low heat so do not expect any shrinkage,2
the shirt arrive stuff in tiny box about x,1
when open the box note that the shirt appear to have be rebagged,0
the shirt fit fairly loosely,1
but look in the mirror could see my chest hair right through the shirt,0
it be make of very thin material and feel no thicker than lightweight undershirt,2
ive purchase good quality shirt from vendor for lt,1
previously on manhattan street corner,0
i should have return it,2
but wait too long,0
dont waste your money,2
its good when its new,1
but after few wash it look really old,1
wont buy again,1
ordered medium for my girlfriend as work shirt amp,0
she like her top biggerlooser,1
well shes amp,1
just under amp,0
the medium fit perfect,1
it fall just to her hip amp,0
wasnt too big,2
it be small for medium though should have order her large for good more comfortable fit,1
but these shirt do run bit small,2
nice quality decent shirt for the price,1
would buy again just know id size up if you be look to buy,1
shirt be great bargain for the price,1
it be not misrepresent in any way,2
it be thin shirt with polo style collar that be very comfortable to wear,1
if you want heavy traditional polo please look elsewhere,1
but for the money you will not be disappoint in this shirt,2
i order one to try then order four more,0
im busty female with really large arm,0
i have very difficult time find shirt that fit my chest and arm without be like moomoo in my stomach area,0
most woman shirt have super tight sleeve,2
these shirt be perfect,1
fit well through the chest and abdomen not tight not too loose,2
and the sleeve be perfect in length and width,1
they go to my elbow and dont slide up when move my arm,0
absolutely love these shirt and buy one in almost every color,1
i be look for inexpensive cotton polo shirt to wear in the winter primarily under other layer,0
the shirt would not need to be super fancy only comfortable,1
this shirt though very plain be exactly what be look for,1
it be also tagless which add to the comfort level,0
this shirt have nice long tail so it stay tuck in,1
i would not recommend this shirt for wear untucked,2
really happy with my new jerzees polo sport shirt,1
try both on and they both fit well and be just what want,1
cuff be snug which be good just right some shirt have very wide loose cuff which dont care for find loose cuff unattractive,0
get both shirt with long sleeve which want prefer these kind of shirt with long sleeve,0
quality shirt at decent price,1
you cant go wrong,0
i order m and it be true to size,0
but very very long,0
i will update once wash it to say whether it shrink at all,0
for the price id say its pretty decent shirt,1
not totally see through it be pretty comfy material and the collar isnt stiff and weird like some shirt,2
my husband need white polo,0
i order these because be pleased with the stainguard,1
once receive they felt little thin,2
i order more of different brand and try to return these,0
they say they be not eligible for return,2
i purchase them week ago so time be not the reason just they be not eligible for return,2
i would have never have purchase them if know they be final sale,0
i would recommend skip this sellerproduct altogether,0
bad business,2
great shirt for an even good price,1
they really be spot resistant and even water doesnt stain them,2
it collect as little droplet on the shirt look pretty cool and reduces dampness after rainspillsetc,0
color be vibrant fit be perfect for tuck in or leave untucked,1
i buy of them for use at work do relatively physical job and theyve hold up great and maintain their appearance,1
theyre breathable too which be an added bonus,0
highly recommended,1
i order these for my husband for work,1
he work in factory and he really like them,1
they be very comfortable dont wrinkle easily and dont show sweat,1
our only complaint be that they collect lint like crazy so if that matter to you buy lint roller to go with them,0
the shirt be good quality with great color that have be compliment on already in its first use today,1
the only issue be notice that if wash these shirt and purely hang dry as normally do the shirt run little big than normal for large,2
but its not to the point where its extra large size,2
so my tip be to wash and use dryer once then hand dry from that point on,0
this could be my mistake or my body,0
the shirt fit reasonably well except for that fact that it be very tight through the chest area,2
i may try medium versus the small size purchase,2
but suspect that would be little too big all around,2
the shirt appear to be good quality,1
i like the shirt and it be mostly comfortable,1
but dont have broad enough shoulder for the amount of space that they have for the top of the sleeve,0
this cause the sleeve to sag down until the end of the sleeve be at my elbow,0
i have to occasionally pull up the sleeve so they be at the right height,0
not as silky as underarmor,0
but very good for cotton blend,1
pretty soft,1
update buy two more one royal blue the other true red,0
the color be bright,1
but they have def change them,0
they be def thinner and not as soft,2
sleeve cuff be tight,2
its too bad they change,2
not as good,1
still not bad for the price,2
real cheap,2
however it drop them from star to star,0
these shirt be the equivalent of tshirts with collar,0
their cost and material be comparable,1
why wear classless tshirts when nice polo leave good first impression,1
the shirt lack any brand logo which be good for those who refuse to advertise over price brand,1
buy half dozen and you will be set for the summer,0
i order these shirt for my son,0
they be good quality and perfect for his it job,1
he be tall and they fit ok in length,0
but great around waist,1
they be not too thick so he can wear an undershirt and still stay cool,2
will be order more,0
very thin fabric,2
but it be inexpensive and come in the purple color that be the uniform color for the high school where my husband work as teacher,1
even though he can wear what he want most day because he be teacher not student he like to wear the school uniform fairly often,0
