sentence,sentiment
"I am not sure if I can get my money back, but I can prevent someone else from buying the terrible product, then I have done my job",2
Buyer BEWARE,2
I purchased two of these shirts and they wrinkle pretty bad compared to other shirts these days,2
I take them out of the dryer before it stops and hang them,0
Even doing this they are hard to iron to get all of the wrinkles out and after wearing for a little while they look like you have slept in them,2
"Nice material, good fit, nice style and such",1
just the wrinkling is my problem,0
And I am not expecting them to be wearable out of the dryer,2
I bought four of these shirts in different colors,0
They are fabulous,1
"The material seems high quality, they look great, and fit perfectly",1
"I'm on the small side, and trying to get dress shirts, much less sharp-looking dress shirts that fit is increasingly difficult",2
Ant to get these shirts at this price is near-unimaginable,1
"The sleeves are not 34"", but it is an ok shirt",0
Definitely runs small,2
I wouldn't recommend,2
I?ôm fairly gentle with my clothes and I?ôve never had anything like this happen before,0
"After first wash, cuffs became horribly frayed and mangled at the edges - had to end up cutting off several loose and frayed threads from both cuffs",2
"I usually roll up my sleeves and I might make a mending project out of it, but I shouldn?ôt have to",0
"For the record, care instructions say machine wash is fine",0
"I have a V shape and prefer button-down collar, tapered fit shirts",0
Getting difficult to find tailored fit button-down collar dress shirts that don't look cheap,2
Very pleased with look and feel,1
I wear a 15 1/2  32-33,0
Nice garment,1
I couldn?ôt wait to wear after its arrival,0
"However, it had a lot of loose threads",2
Staff that was assigned to ?úclean it??did a lousy job,0
I took care of it but it was a nuisance,2
Got a beautiful shirt  after that little trimming,0
The shirt is very nice,1
"Comfortable, fits well and  does not wrinkle",1
I ordered 34/35 sleeve length and it is the longest sleeve I?ôve ever owned,0
Have to roll up and cuff to wear otherwise I look like a pirate with billowing sleeves,0
Actual measurement is closer to 37,0
Useless as a work/office dress shirt unless you are Captain Jack Sparrow,2
Good fit at the neck/chest area,1
But would definitely consider getting the waist and sleeves tailored,2
"The quality of stitching isn't superb, but adequate",0
Especially considering the casual nature of the shirt,0
Van Heusen is consistently dependable,0
This shirt was what I was looking for,1
"It is dressy enough to wear with a tie and jacket, yet it also goes well with jeans",0
I definitely recommend it,1
Junk and paper thin shirt,2
I had to return two shirts as they had not been sewn at the edges of the sleeve cuff leaving a raw open fabric edge,2
They say easy care but they are heavily wrinkled straight out of the drier,2
Never buy again,2
The shirt comes out of the dryer looking pretty good,1
I always iron them but it is much easier with a shirt that already looks pretty good,2
The seams are straight and the fit is good,1
The seams on both sleeve cuffs came un-stitched with first laundering,2
The shirt is unusable,2
Update: Shirt replaced quickly with easy return of the original,0
"If this one holds up, I will update rating to 5 stars",0
"Very nice color, excellent fit",1
Good wearability and thank god it comes in many sizes,1
"I get compliments wearing these Van Heusen shirts, mainly because they fit",1
"Plus, THEY LOOK GREAT, and the collars are very sturdy and clean-looking",0
I love the way these fit,1
"My husband wore this shirt twice?îwashed on cold gentle cycle, delicate dryer as all his work shirts are",0
The cuffs have completely fallen apart on both sleeves,2
Not just the stitching either?îthe fabric itself has literally shredded,2
Extremely poor construction,2
"This shirt is really nice looking, well made and wrinkle-free",1
"Really, wrinkle-free",1
So why doesn't Van Heusen make more like this? I don't know,1
I certainly would buy a few more in solid colors,1
"Now other Van Heusen shirts? Trashy, not wrinkle-free, not true to size and cheap looking although the same price",0
Go figure,1
Bought this for my husband to wear to our son?ôs rehearsal dinner,0
It looked very good with black dress pants and a tie,1
"The shirt is made out of a very nice material, very easy to press",1
"These fit as expected since you order by neck and sleeve size, it makes no sense to buy ones that are just s, m, lg, xl and expect a good fit",0
I noticed some threads loose on the left shoulder when I wore it the first time,2
I thought they were just loose threads that could be cut,2
Wore it a second time and went to cut the threads they are coming out in several places,2
Very dissapointed,2
This shirt waste of money,2
The shirt fit great but one of the seams ripped out after 6 months of little wear,2
I can?ôt recommend this shirt even though I have always had good luck with Van Heiden,1
"Brought these shirts for my husband, he has broad shoulders so it fitted well there but waist area was abit loose",0
Overall it was good,1
Not easy care or wrinkle free,2
Disappointed,2
My husband wore out his Van Heusen dress shirt - he liked the look and fit that much,1
"So glad we were able to order a new one online during our state's ""Stay At Home"" order",1
This shirt is great,1
Just as advertised and I am happy as I didn't have to wait in a line,1
"In fact, I'm ordering more",1
"I was happy to find the size, quality, and color needed",1
I bought this shirt for my husband to wear to semi-dressy events,0
"It would be good for others to wear at anytime, but he is a tee shirt kind of guy so I needed a comfy and easy care shirt",0
It fits well and I am happy,1
"got this for my husband and it fit true to size, and it was half the price from big name stores, which is even better",1
And it fit as we expected it too,1
And the color looks good on him,1
No complaints,0
Really like the shirt,1
It is a little snug through the chest and waist,0
These seem to run a bit smaller than my other brand dress shirts of the same size,0
Van Huesen had the best dress shoes,1
"great fabric, feel and amazing well made",1
My Husbands fave' ~ look great on him,1
PJ,0
I ordered this shirt because I have one just like it -exactly the same,1
Older one is 5 years old and still like new,0
Was replacing some others from other manufacturers with same stripe as collars started to wear from chin whiskers,0
"Oh, I do have many other shirts for all seasons blue pin striped are my casual favorites",2
"An inexpensive shirt, and you get what you pay for",1
"The fit is a little blousy, and the fabric a bit thin",0
"Getting hard to find these traditional striped shirts in a button down style, so this one fills a need, but I doubt it will stand up well to repeated laundering",2
"Still, the price was right",0
Husband wears these types of shirts to work,0
He likes them for their comfort,1
I like them because they don?ôt need ironing,1
Defective stitching on pocket,2
See photo,0
Returning shirt,0
A little larger than I thought it would fit,0
Other than that it is a nice shirt,1
Not super well made but for the price a good shirt,1
I received a lot of shirts at the same time and tried them on,0
This shirt was the same size but was a lot bigger,0
It will do but not satisfied with the size,2
Its not a heavy dress shirt,0
More light then heavy,0
happy with it,1
Better then expected for the price,1
"I find it very difficult to find good dress shirts with a 18 inch collar and 34-35 sleeve, but these exactly fit the bill",1
"They are good looking, wrinkle resistant shirts",1
Unfortunately i didn't try the shirt one right after i purchased it,0
This was a back up and its been way over a month since my purchase,2
When i put it on for the first time the sleeves and cuffs were too small,2
I couldn't button the cuffs,2
The left button on the collar fell off before the end of the day,2
"Make sure you try it on the same day you get it , even if it is a backup",0
Wrinkles bad,2
Unlike the same model but has pinpoint on the collar,0
This one comes out immediately from the dryer and requires it to be ironed,0
Not good,2
"Arrived on time, and they are a perfect fit for a paunchy old guy with a 17 1/2 inch neck size",1
I must say that I was pleasantly pleased with these purchases,1
Bought five at same size  and I am just please at the fit especially in neck and sleeves,1
Tailoring is nat bad either,0
It appears shirt manufactures are saving on material,2
tight in all the wrong places,2
Love it,1
Will buy another,1
A true taylored shirt,0
Would be A+ if it had a button down collar,0
Beautiful shirt,2
Nice fabric,1
Excellent fit &amp,1
quality,1
Washes nicely,0
No wrinkles,2
My Hubby loves these shirts,1
Easy wash &amp,1
dry with little or no ironing,0
Purchased this shirt for my husband and it?ôs a great quality shirt,1
I ordered a couple of these shirts online because I could not find my exact size locally,0
16 x 34/35,0
The fit is pretty good,1
Just on the loose side,0
a tad,0
"but maybe, after a wash, they'll be just right",0
The fabric is not super heavy,0
"but not see-through, either",2
I like the weight,1
"Overall, happy with the shirt",1
Basic dress shirt without all the frills,0
"This was exactly to fit, I wear it for work",0
I love it,1
Great material and doesn't shrink or fade after a few washes,1
"I wore this shirt 1 time, then I washed it and both cuff sleeves have completely fallen apart",2
The fabric literally shredded,2
Extremely poor quality,2
Please stay away from this,1
Waste of ?í∞,2
Great quality,1
Shirt was a perfect fit,1
Wore to compliment my wife?ôs dress for a night out event,1
Nice fit but a lot of loose threads hanging out all over the shirt,0
"After the second laundering, a buttonhole on the front frayed and is now essentially unusable",2
"Of course, I noticed this after the return date, so now face an expensive repair",2
Beware,0
"The quality and design of this dress shirt is extraordinary, especially given the cost",2
"Well done, Van Heusen",1
Seems very well made and fit exactly like it should,1
pretty  - nice material  fast shipping and well packed,1
This is a really nice looking shirt,1
Which I used to dress up,0
The shirt fit fine,1
My problem is the cuffs unraveled on the first time my husband wore it,2
Unfortunately it was past the date of making a return,2
Poor quality in sewing appears to be the cause,2
The seam did not fix the fabric it was supposed to hold,2
What a waste of money,2
Very nice shirt,1
Well made and very comfortable,1
An exceptionally competent shirt at a fair price,1
La mejor opci√≥n en camisas lindas y de f√°cil planchado es VAN HAUSEN,0
"Looks great, fits great and arrived quickly",1
Cannot find 18 neck with a size 30/32 shirt anywhere,0
This one fit my boyfriend perfectly,1
Quality shirt,1
Only issue was LOTS of loose threads,2
I had to check each seam with a pair of scissors in hand to clean up all the dangling threads,2
This shirt is too short,2
Not long enough,0
Wish to return,2
Please advise,0
Nice quality,1
Fits great,1
Husband really likes this shirt,1
Shirt was as described by seller,0
A few loose threads that had not been cut off which is not unusual for a shirt in this price range,2
overall very pleased,1
Fits just right,1
Will probably buy more in other colors and patterns,1
"Needed a tall, but the shirt is quality",1
Well-made shirt,1
Feels and looks like an expensive dress shirt,1
Took correct measurements of myself and it fit great,0
The fit was not at all as I expected,2
The sleeves were way too long and the shirt was very baggy all around,2
So I ordered a different size and it fit very  well,0
This shirt was bought to replace the same shirt bought 20 years ago,0
Looks and feels to be the same product,1
We'll let you know if this one lasts 20 years,0
Van  Heusen is a great brand,1
The fit is exactly right,1
Comfortable but Not long enough,0
Barely tucks in my pants,0
Love the shirt,1
I wish I could get some others in different patterns in my size,1
Good quality and one of the few items where I ordered what I normally wear and it came in just right,1
This shirt fit him perfectly and he loves it,1
These shirts were a great value but they come out of the dryer wrinkled,0
Shirt had a nice look and was a good value,1
Not a no-iron shirt,0
"A neat and hard to find color pattern, but be prepared to get the iron out",0
Straight from the dryer its wrinkled,2
Quality good,1
Fit good,1
Holds up washing,2
Would buy again,1
"I liked this shirt, fits good, quality built",1
"I Love this shirts, but as they are too small for my husbands neck, I am returning and ordering a larger size",0
They are truly beautiful,1
Material is not the greatest like Tommy Hilfiger shirts but it is right for the price,0
I was Very Pleased,1
", THANK YOU",0
poor fit buy a size or two up,2
Good fit,1
Need to add another button to the bottom of the shirt to help keep it straight when tucked in your pants,2
Awesome quality great value,1
"good fit, easy  to move in",1
Fit is a bit snug,0
Order up a size,0
"Shirt wears fine, unfortunately though after about the third dry cleaning the blue stripes are now bleeding into the white fabric",0
Same professional dry cleaners I?ôve used for decades and not had this happen to any other dress shirt or garment,2
"Disappointing to say the least, two months use and now into the trash",2
"I really love this shirt its fit perfectly, it is just perfect for me",1
Thanks a lot,0
"I like design,color,brandname",1
"Beautiful shirt, great colors, fits very well and the price is very good",1
"Van Huesen shirts have been around for a long time, there's a good reason",1
The feel of the fabric and the fit is not as expected,0
"With only wearing this a few times, the shirt should not have lose threads",2
"I should have returned it prior to the cut off time, but unfortunately I procrastinated",2
:-,0
Fits great,1
Just what I needed,1
I ordered 18,0
5/36 -37 tall,0
Shirt would be fine except the tail is too short,0
Quality fabric and fit,1
Quality not as expected,0
Buttons loose,2
stitching coming undone in the shoulder seem??,2
This brand used to be of better quality,1
Quality was good,1
Fits great,1
Good value,1
Not wrinkle free,0
Nice color on shirt,1
Fit was perfect,1
Material was a bit thin,0
Not the highest thread count either,0
A decent everyday shirt,0
Nice product,1
High quality,1
Reasonably priced,1
Purchased the shirt for my husband for work,0
One of the collar buttons was missing when it arrived,2
"Fortunately had an extra button and sewed it on, but disappointing that the shirt arrived with the button missing,",2
Looks great,1
Nice fit and feel,1
Good Shirt,1
Great quality but too long and loose around waist,0
Looks and fits great tucked in,1
Fits great,1
Excellent shirt,1
"Not bad but it is a bit loose , buy half a size smaller than your actual size , quality is good and very comfortable , packiging and delivery were excellent",0
Great Shirt,1
"Perfect shirt, perfect size and fit, reasonable cost, no hunting in store for right size and style",1
Exactly as show in photo,0
Like,1
Very poor quality have always bought Van Huesen maybe not anymore,2
WOULD WOULD BUY AGAIN,1
NICE SHIRT,1
"Excellent, Thanks, Michael, 2019",1
I have been buying Van Huesen shirts for a long time,0
They are good to wear,1
Very good quality and good price,1
Fits as expected,0
"Good feel, soft material, easy to iron and looks sharp",1
Really nice shirt,1
I got one but the size is completely not fitting for me,0
The shirt,0
"Opened the package, put the shirt in the wash, cuffs shredded",2
Poor stitching quality,2
I thought about reaching out to the manufacturer before posting a review but really they should do quality testing before they ship these things out,2
My wife is working on stitching up the cuffs,2
"Nice looking dress shirt, but needs to be ironed ?òï",0
size was exactly correct,0
shirt fits fine,1
"The blue stripes are quite clear, soft blue",1
Really did not like the way this fit,2
Much to big,2
It washes well and doesn't shrink at all,1
Still looks good after two washings,1
"I'm generally pretty happy with Van Heusen shirts, and this is no exception",1
Works with both dress pants and jeans,0
"If they ever come up with a shirt that irons itself, I'll bump the review up to five stars",0
Really like the color of this shirt,1
It's great,1
"Good fit, good material",1
"Fits well, very attractive, soft and comfortable material",1
Would buy again,1
Basic dress shirt that fits perfectly,1
Comfortable breathable material,1
Like the quality and variety of colors and print,1
Fits well and I like it,1
Product was satisfactory,1
Met my expectations,1
Thanks,1
Great shirt with a perfect fit,1
"A little too wide, it is a regular fit but still a little wide even for that",2
Great quality and look though,1
I love the shirt,1
It is comfortable and looks great with navy slacks,1
"I live in South Georgia, so it's definitely not a summer shirt",0
It fits as expected,0
"It fit as expected, but as a tall person it is a tad shorter than I want, but not so bad that it renders the shirt unwearable",0
Nice,1
would've given it 5 stars but the sleeve length was just a tad short,0
but acceptable,0
"If you are on-the-fence between sleeve length options, go with the longer sleeve",0
"Otherwise, fits well and looks good",1
Quality is not so good and strands of thread are coming out on many places of the shirt,2
It is not really easy care,2
It definitely needs ironing after washing and drying,2
I don?ôt consider that easy care,0
"Great shirt, great price, bought a second shirt",1
These are a great value,1
You could easily pay two or three times as much for a shirt of this quality,1
I am wearing one right now,0
Spend a bit more and get a good fit at others,2
"The Van Heusen  brand has obviously gone the way of what once were 1st class producers such as Bell and Howell, Arrow, etc",1
good product,1
I wore this shirt three times and the sleeve stitching completely unraveled,2
Poor quality,2
Good,1
"I have always like Van Heusen shirts, and have been buying them for many years",0
This particular shirt was on sale and probably because  it has issues,2
"After the very first wash the  cuffs came apart, it turned out to be a wear once shirt",2
"Fit is perfect, colors vibrant, and tailoring is very good",1
Quality and perfect size,1
"Fabric: soft, neck: just right",1
Great quality at a more than reasonable price,1
"Good price, authentic product",1
Love this line of shirts,1
have owned many,1
"This shirt wears well, and looks great when starched and pressed",1
has the appearance of a shirt costing much more,1
The collar size and arm lenth are correct,0
However it is wa to big around the abdominal area,2
Unless you are obese better to get slim fit,0
The headline is the review:,0
"Good quality, good fit, good appearance, good price, delivered promptly",1
Will buy more as the occasion merits,1
First of all they have different size criteria and had to actually have my brother measure his neck size,1
"After measuring it well, and choosing the closest size from this list, this is way too large to fit in",0
Satisfied customer,1
Decent shirt for the price,1
Fits just like every other shirt I own with the same measurements,0
"If I can find the same shirt in different patterns, I'll get a couple more",1
Great fit,1
He loved it,1
Love this brand and this shirt,1
nice shirt,1
Can't wear it,0
Perfect shirt for my body size,1
Great fit and crisp dress shirt,1
Loove,2
Nice shirt but I wish it really was a 16 1/2 x 33,0
The sleeves are way too long &amp,2
it looks like wind breaker on a windy day,0
Strudy material and you can't beat the price,2
"Finally  , nice",1
Good quality for casual Fridays,1
I like the way it fits and I like the way it looks,1
Received great compliments from friends,1
SHIRTS RUN VERY SMALL-IF YOUR SELECTING 15 OR 16 NECK GO ONE UP IN SIZE,0
Perfect as I want,1
Van Heusen shirts just seem to fit great and look great,1
It's a well made shirt and I'm glad i got it for a very good price,1
Fit amazing but had a small whole on the sleeve,0
Great quality and stripes spacing and color suttle yet dressy,1
"Very well made, washes and wears well",1
"I've never had any problems with Van Heusen shirts, my favorite",1
"I opened one shirt-it is paper thin, very poor quality and about two sizes too small",2
What happened to Van Heusen?  I bought four of these and wasted my money,2
"The boxes were left out in pouring rain, instead of putting under the covered porch, so returning is not even possible",0
"love these shirts, excellent quatlity for the price",1
Great shirt at a great price,1
Good looking,1
durable I would guess,1
Van Heusen shirts are very consistent over past 30 years,1
Very good quality and fit,1
I always consider these when looking for dress shirts,0
good product,1
i like it,1
Excellent material and very good fit,1
The shirts fit great and good quality,1
Really nice,1
Perfect fit,1
Very nice looking shirt,1
Fit nicely too,1
It was too small,2
This was a gift and he loved it,1
A decent shirt for the money,0
Normally I?ôm pretty happy with Van Heusen /Amazon clothes but I just bought this shirt and there were over a dozen loose threads/strings that I had to cut off,1
Seems like a poor sewing job,2
Don?ôt waste your money,2
Bought this shirt for my husband and the cuffs frayed after the first wash,0
Returned it and got a replacement,2
Washed that one and the same thing happened even before wearing,0
Poor quality,2
"The shirt arrived bunched up in an envelope, torn",0
"The size 18 neck, 33/34 sleeve made it a Big and Tall, so had too much volume around the middle that I didn't need",0
Returned it for full credit from Amazon,0
Great,1
This shirt is exactly as pictured,0
It was true to size and is classic fit shirt,1
the quality is very good and durable,1
Has been washed several times and has not lost its color and did not shrink,1
Great shirt,1
Good quality product for the price,1
Would buy it again,1
Fits a big man well,0
Had the shirt laundered with extra starch it looked like the shirt you could buy,0
Great shirt and actually fit as expected,1
Fits tight,2
"It's a nice shirt, but all of my husband's other shirts are from L L Bean, and the Van Heusen shirt is not of that quality",1
"very good shirt,",1
Nice shirt,1
Can't go wrong with a Van Heusen wherever you a Gen Z or Boomer,0
Great product for the price,1
I love this shirt,1
"OK shirt, but it is smaller than other shirts I have with the same size",0
Very good product,1
"This top of the line button down collar shirt has that tailored look and feel, one of Van Heusen's best",0
It fit well and quickly became one of my favorites for work and play,1
"Good quality, looks good and fit as expected",1
Well tailored and nice material,1
Coler was different than anything I had and very versitle,1
Nice pinpoint color,1
I washed it on the delicate setting with some of my other work shirts and both cuffs separated,2
Unwearable,2
This item is complete garbage,2
My husband wore this shirt one time and the material on the inside of the neck is coming unstitched,2
He really liked the shirt but it is not made well,2
"Shirt is well made, and very comfortable",1
"The shirt fits perfectly, and is beautiful",1
The shirt was sewn with parts of the shirt's material on the wrong side,2
This is a very basic part of sewing to sew the garment with the material facing the same side,0
Good price,1
Nice shirt,1
I love the quality of this brand,1
As expected,0
Good product,1
Good quality,1
I liked it,1
For my own use,0
Nice Shirt,1
Wore it to church Sunday and was thinking of getting another one in a different color,1
Ok,0
Worked well,1
Nice shirt but the second button on the sleeve slit is stupid,0
Other than that this is my third button down Van Heusens shirt,0
Bought this shirt for my husband,0
The cornflower blue pinstripes are gorgeous,1
He looks so handsome in this and I think it's one of his new favorites,1
"It's also soft but ""manly""",0
An overall great buy,1
good fit and well made,1
It was used for work and church,0
I have been wearing these shirts for years at work each day,0
"Very good quality, fits well, very comfortable, wrinkle free, once dried, just fold them well and press them in the pile of clothing and they come out neat looking",1
I strongly recommand,1
I am very pleased with all 3 Van Heisenberg Dress shirts,1
They fit perfectly and I could not,1
E happier,1
All Van Heusen shirts fit well and look great,1
Wearing them for years and will continue to do so,1
Hi,0
I opened today but there are a lot defaults,2
I am very angry,2
My Favorite Shirt,1
It fits well and looks good,1
very nice and good quality,1
Nothing to dislike about them,1
They fit that?ôs all that counts,0
Very nice shirt,1
Product must be a seconds,0
Pocket is one inch plus too low,2
Button holes on sleeves are not present,2
Fit is too large,2
Very disappointed with this product,2
"Material was nice, but it was little bit large so I had to return it",2
Usually I wear 15,0
5 in size but it was bit large with this brand,0
Fit perfectly and well made,1
Very happy with my shirt,1
I will buy more,1
Feels great,1
Perfect,1
You got 2 stars because you failed to mentioned that the shirt was 2XL,2
Great shirt,1
Fits good,1
Love this bread,1
This is not typical of Van Heusen shirts,0
Colors ran when sent the first time to the dry cleaners,2
Send 5 shirts weekly and have never had this happen,0
great product,1
Too small,2
"Decent office shirt for everyday-type use, has held up well over a few months - color is still sharp and we have seen no problems with loose stitching, buttons coming off or badly sewn button-holes etc etc - quality appears to be consistently high",1
"We've purchased 3 at various times,  and sizing has also been consistent",0
Nice shirts for the money,1
I wear a tie four days a week,0
VH are good every day type duds,1
You can always spend $100 on a nicer shirt with french cuffs when the circumstances demand,0
"As advertised, fits well, good quality, arrived on time",1
Good for office or casual wear,1
"fits as expected, always looks clean",1
"A great feeling, great looking shirt",1
"I ordered another one,  in a different color, today",1
"I have written favorable reviews about Van Heusen dress shirts because I but them all the time due to fit, looks, ease of care, and price",1
This review is the same,0
I wish Vah Heusen had a dress shirt of this caliber in a broader stripe,0
Fits well,1
Looks good,1
Not truly wrinkle free does need ironing after washing but does not wrinkle while wearing,0
Great shirt - classic and crisp,1
Love the color - stripes look great with navy club tie,1
Work shirt,0
Stitching is twisted,2
Its like slim fit but not so slim,0
EXCELLENT,1
Fit perfect to my husban,1
Very nice quality,1
:D,1
Nice semi dresse shirt ok for every day uses,1
Nice dress shirt,1
Reordering more,1
"Great price, great quality for the price",1
Fits well,1
Chose neck and sleeve lengths 17 1/2 32/33,0
item arrives as XXL :,0
"Nice shirt, I just ordered the wrong size",1
Thread count seems a little low,2
Irons just ok,2
Not great,2
La ca√≠da de la tela,0
"Everything was as expected, now we have to see the results of washing",0
Very nice shirt and fits as expected,1
Love the quality,1
Perfect work shirt for my husband,0
Thin material but a good shirt for the price and good for quickly and cheaply adding depth to a wardrobe,1
These shirts never disappoint,1
The shirt is gorgeous,1
After one wash the cuffs stitching came out,2
"Also, the material was thinner than expected",2
I returned this shirt as defective,2
Nice fit good material,1
I have never bought a shirt on Amazon before,1
The shirt fits perfectly,1
I like this,1
"Fits good, looks good, feels good",1
"Fits well, good quality material, not too thin as experienced with some other VH shirts",1
Nice shirt,1
The way it fits,1
A very good shirt,1
"I was looking for a fitted dress shirt, but only regular fit was available",0
"Shirt fit well, but just a bit wide in the mid drift, even for a classic cut",0
Fit is smaller than desired,0
Very nice and quality shirt,1
Check your personal measurements before purchasing,0
"Classy shirt, good style, doesn't need much ironing",1
Good value for money,1
Nice shirt for the price,1
I bought one and then two more,1
It is a shirt,0
What more is there to say?,0
"Great looking shirt, stylish, professional and true to size",1
Nice product -looks more expensive than it was,1
Fantastic quality,1
great buy,1
thanks,0
This product was a gift and the recipient seemed very happy,1
The fit seems fine,1
I wish that the stripe pattern was a bit wider,2
Looks great,1
Beautiful shirt and it fits well,1
Very nice shirt,1
Will order again,1
"Looks good, a bit larger than size",1
Good shirt,1
Nice colors and nice fit,1
Product was coming unravelled at the sleeves,2
Poor quality,2
Returned both shirts,2
Excellent fit,1
nothing to add,0
"The feel, the fit and look of this shirt are classic and will look good for years",1
Great fit and style,1
The perfect shirt that I was looking for,1
Looser than expected,2
Van Heusen is always a good fit all-the-way-around,1
I have worn Van Heusen for years with no complaints,1
I received this as a gift,0
I love Van Heusen dress shirts,1
High quality for the price,1
I had to have it pressed at the cleaners before wearing because the folds wouldn't come out,2
"Fit perfectly, looks sharp",1
"great shirt, looks and fits great",1
"It was a nice looking shirt and my husband has a lot of Van Heusen shirts that fit great if we get the right size, but somehow the size I thought I ordered was not the right size",2
I may try to reorder the same shirt and watch closer what button I push,2
Very nice shirt,1
Great quality,1
Fit as advertised at a great price,1
Great fit,1
Very happy with the shirt worked out real well,1
I love these Van Heusen shirts,1
They fit as expected and the price is great,1
Perfect shirt for a cheap price,1
Fits great,1
Shirt seems comfortable too,1
Good shirts that are not seconds,0
It?ôs a decent shirt,1
Threads come loose easily,2
Absolutely love the shirt,1
My new favorite,1
As expected,0
"Nice shirt, quality garment, as was expected, very pleased",1
I like that the lines are straight on it,1
Seems to really hold up to the rigors of office work,1
Nice looking,1
Fits too tight,2
Excellent shirts for work or going out,1
